2020Mar21-17:16:26 root DEBUG Hello world!
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695703040, percent=79.2, used=6439976960, free=1695703040) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695285248, percent=79.2, used=6440394752, free=1695285248) 
